,label
0,2
1,0
2,2
3,1
4,1
5,0
6,2
7,0
8,0
9,2
10,1
11,1
12,0
13,0
14,2
15,0
16,2
17,2
18,1
19,0
20,1
21,2
22,1
23,1
24,1
25,2
26,2
27,2
28,0
29,1
30,0
31,1
32,0
33,2
34,0
35,2
36,1
37,2
38,0
39,1
40,2
41,2
42,0
43,0
44,1
45,0
46,2
47,2
48,2
49,0
50,2
51,2
52,0
53,0
54,1
55,0
56,0
57,2
58,2
59,1
60,1
61,2
62,2
63,2
64,2
65,0
66,2
67,2
68,0
69,1
70,2
71,1
72,1
73,1
74,0
75,2
76,1
77,1
78,1
79,2
80,2
81,0
82,2
83,2
84,0
85,0
86,2
87,2
88,0
89,2
90,2
91,1
92,0
93,0
94,1
95,1
96,1
97,1
98,0
99,2
100,0
101,1
102,1
103,2
104,1
105,0
106,0
107,2
108,2
109,0
110,1
111,2
112,2
113,0
114,1
115,1
116,2
117,2
118,2
119,0
120,0
121,2
122,2
123,0
124,1
125,0
126,2
127,1
128,2
129,0
130,1
131,0
132,0
133,1
134,2
135,0
136,0
137,1
138,1
139,0
140,1
141,1
142,0
143,1
144,0
145,0
146,2
147,2
148,2
149,0
150,0
151,1
152,1
153,2
154,0
155,2
156,2
157,0
158,2
159,0
160,0
161,0
162,0
163,0
164,0
165,1
166,2
167,2
168,0
169,2
170,1
171,2
172,1
173,0
174,2
175,1
176,0
177,1
178,1
179,2
180,2
181,2
182,1
183,2
184,0
185,0
186,0
187,0
188,2
189,1
190,0
191,1
192,2
193,0
194,0
195,2
196,0
197,1
198,1
199,2
200,1
201,2
202,2
203,1
204,0
205,0
206,2
207,0
208,0
209,2
210,2
211,2
212,0
213,1
214,0
215,2
216,2
217,0
218,2
219,0
220,2
221,0
222,0
223,2
224,1
225,2
226,0
227,1
228,2
229,0
230,0
231,2
232,0
233,1
234,1
235,2
236,2
237,1
238,0
239,1
240,1
241,0
242,2
243,2
244,2
245,1
246,2
247,1
248,2
249,2
250,2
251,2
252,2
253,1
254,1
255,2
256,0
257,2
258,0
259,0
260,0
261,0
262,1
263,0
264,2
265,2
266,0
267,0
268,0
269,2
270,1
271,0
272,0
273,2
274,2
275,2
276,2
277,2
278,0
279,1
280,1
281,1
282,1
283,1
284,2
285,2
286,0
287,1
288,1
289,2
290,1
291,0
292,2
293,2
294,2
295,0
296,1
297,1
298,0
299,2
300,1
301,2
302,0
303,2
304,1
305,1
306,0
307,0
308,0
309,0
310,2
311,2
312,1
313,2
314,2
315,0
316,2
317,0
318,0
319,2
320,2
321,1
322,2
323,0
324,0
325,2
326,2
327,0
328,0
329,2
330,1
331,2
332,2
333,0
334,2
335,0
336,0
337,2
338,1
339,2
340,2
341,1
342,2
343,2
344,1
345,0
346,1
347,2
348,0
349,0
350,1
351,1
352,2
353,2
354,1
355,1
356,1
357,2
358,0
359,1
360,1
361,2
362,2
363,0
364,0
365,2
366,1
367,1
368,2
369,1
370,2
371,2
372,0
373,2
374,1
375,2
376,2
377,2
378,0
379,1
380,2
381,2
382,0
383,2
384,1
385,1
386,0
387,2
388,1
389,1
390,0
391,1
392,0
393,1
394,1
395,0
396,1
397,0
398,2
399,1
400,0
401,1
402,1
403,1
404,2
405,0
406,2
407,0
408,1
409,2
410,2
411,2
412,0
413,1
414,2
415,0
416,1
417,1
418,0
419,2
420,1
421,2
422,0
423,0
424,0
