,label
0,india
1,us
2,india
3,china
4,china
5,us
6,india
7,us
8,us
9,india
10,china
11,china
12,us
13,us
14,india
15,us
16,india
17,india
18,china
19,us
20,china
21,india
22,china
23,china
24,china
25,india
26,india
27,india
28,us
29,china
30,us
31,china
32,us
33,india
34,us
35,india
36,china
37,india
38,us
39,china
40,india
41,india
42,us
43,us
44,china
45,us
46,india
47,india
48,india
49,us
50,india
51,india
52,us
53,us
54,china
55,us
56,us
57,india
58,india
59,china
60,china
61,india
62,india
63,india
64,india
65,us
66,india
67,india
68,us
69,china
70,india
71,china
72,china
73,china
74,us
75,india
76,china
77,china
78,china
79,india
80,india
81,us
82,india
83,india
84,us
85,us
86,india
87,india
88,us
89,india
90,india
91,china
92,us
93,us
94,china
95,china
96,china
97,china
98,us
99,india
100,us
101,china
102,china
103,india
104,china
105,us
106,us
107,india
108,india
109,us
110,china
111,india
112,india
113,us
114,china
115,china
116,india
117,india
118,india
119,us
120,us
121,india
122,india
123,us
124,china
125,us
126,india
127,china
128,india
129,us
130,china
131,us
132,us
133,china
134,india
135,us
136,us
137,china
138,china
139,us
140,china
141,china
142,us
143,china
144,us
145,us
146,india
147,india
148,india
149,us
150,us
151,china
152,china
153,india
154,us
155,india
156,india
157,us
158,india
159,us
160,us
161,us
162,us
163,us
164,us
165,china
166,india
167,india
168,us
169,india
170,china
171,india
172,china
173,us
174,india
175,china
176,us
177,china
178,china
179,india
180,india
181,india
182,china
183,india
184,us
185,us
186,us
187,us
188,india
189,china
190,us
191,china
192,india
193,us
194,us
195,india
196,us
197,china
198,china
199,india
200,china
201,india
202,india
203,china
204,us
205,us
206,india
207,us
208,us
209,india
210,india
211,india
212,us
213,china
214,us
215,india
216,india
217,us
218,india
219,us
220,india
221,us
222,us
223,india
224,china
225,india
226,us
227,china
228,india
229,us
230,us
231,india
232,us
233,china
234,china
235,india
236,india
237,china
238,us
239,china
240,china
241,us
242,india
243,india
244,india
245,china
246,india
247,china
248,india
249,india
250,india
251,india
252,india
253,china
254,china
255,india
256,us
257,india
258,us
259,us
260,us
261,us
262,china
263,us
264,india
265,india
266,us
267,us
268,us
269,india
270,china
271,us
272,us
273,india
274,india
275,india
276,india
277,india
278,us
279,china
280,china
281,china
282,china
283,china
284,india
285,india
286,us
287,china
288,china
289,india
290,china
291,us
292,india
293,india
294,india
295,us
296,china
297,china
298,us
299,india
300,china
301,india
302,us
303,india
304,china
305,china
306,us
307,us
308,us
309,us
310,india
311,india
312,china
313,india
314,india
315,us
316,india
317,us
318,us
319,india
320,india
321,china
322,india
323,us
324,us
325,india
326,india
327,us
328,us
329,india
330,china
331,india
332,india
333,us
334,india
335,us
336,us
337,india
338,china
339,india
340,india
341,china
342,india
343,india
344,china
345,us
346,china
347,india
348,us
349,us
350,china
351,china
352,india
353,india
354,china
355,china
356,china
357,india
358,us
359,china
360,china
361,india
362,india
363,us
364,us
365,india
366,china
367,china
368,india
369,china
370,india
371,india
372,us
373,india
374,china
375,india
376,india
377,india
378,us
379,china
380,india
381,india
382,us
383,india
384,china
385,china
386,us
387,india
388,china
389,china
390,us
391,china
392,us
393,china
394,china
395,us
396,china
397,us
398,india
399,china
400,us
401,china
402,china
403,china
404,india
405,us
406,india
407,us
408,china
409,india
410,india
411,india
412,us
413,china
414,india
415,us
416,china
417,china
418,us
419,india
420,china
421,india
422,us
423,us
424,us
