,importance,stddev,p_value,n,p99_high,p99_low
pkt_3_ipv4_src_23,0.008185538881309662,0.0009095043201455081,1.9862089657644344e-10,10,0.009120225769900913,0.00725085199271841
pkt_0_ipv4_src_25,0.0064120054570258826,0.001123154982740202,1.1180154258890392e-08,10,0.007566258617753308,0.005257752296298457
pkt_9_ipv4_dst_5,0.005457025920873082,0.0012862333445867122,1.4804757831816723e-07,10,0.006778872795291153,0.00413517904645501
pkt_2_rts,0.005457025920873082,0.0012862333445867122,1.4804757831816723e-07,10,0.006778872795291153,0.00413517904645501
pkt_9_ipv4_dst_6,0.004229195088676629,0.001976995463327325,4.113168226280359e-05,10,0.00626093006502155,0.002197460112331708
pkt_9_ipv4_dst_0,0.004092769440654798,0.0020337134856751207,6.53516966467721e-05,10,0.006182792861222643,0.002002746020086952
pkt_4_rts,0.0038199181446111454,0.0021134970511363683,0.0001443004258376017,10,0.00599193419667057,0.0016479020925517203
pkt_3_rts,0.003547066848567493,0.0022463099654803894,0.0003728090300636498,10,0.005855573170022327,0.0012385605271126583
pkt_7_ipv4_dst_27,0.003001364256480188,0.0019077923568351814,0.0003823591240526792,10,0.004961980014526463,0.0010407484984339137
pkt_6_tcp_opt_60,0.002864938608458345,0.001356656106428053,4.539356502442399e-05,10,0.004259158126626976,0.0014707190902897137
pkt_6_ipv4_dst_4,0.002864938608458345,0.0013566561064280527,4.5393565024423907e-05,10,0.004259158126626976,0.001470719090289714
pkt_0_ipv4_src_18,0.0027285129604365244,0.0,0.5,10,0.0027285129604365244,0.0027285129604365244
pkt_7_rts,0.0025920873124147038,0.0023585816243546815,0.003494782105759176,10,0.005015973896706995,0.00016820072812241292
pkt_9_ipv4_src_28,0.002455661664392872,0.002013273635395964,0.0019319488211634187,10,0.0045246792913239825,0.0003866440374617618
pkt_4_tcp_opt_60,0.00231923601637104,0.001294247337040277,0.00015351099815051026,10,0.003649318776541054,0.0009891532562010259
pkt_0_tcp_opt_60,0.00231923601637104,0.001294247337040277,0.00015351099815051026,10,0.003649318776541054,0.0009891532562010259
pkt_9_ipv4_dst_4,0.0021828103683492195,0.0026671902316716904,0.014655056606902082,10,0.004923850387294208,-0.000558229650595769
pkt_8_rts,0.002182810368349208,0.0013179969755515782,0.0002683683184560322,10,0.0035373003525791848,0.0008283203841192319
pkt_4_ipv4_dst_1,0.0021828103683491974,0.0009538961784176259,2.443998121390501e-05,10,0.0031631182473723703,0.0012025024893260242
pkt_8_ipv4_src_28,0.0021828103683491974,0.0014665316504408393,0.0005547586579110626,10,0.003689947690304788,0.0006756730463936067
pkt_9_ipv4_dst_3,0.0020463847203273655,0.0007190262983557217,4.269025611585027e-06,10,0.0027853195870884973,0.0013074498535662338
pkt_5_rts,0.0020463847203273655,0.0009646750084400636,4.3856985674856996e-05,10,0.0030377698761409498,0.0010549995645137812
pkt_7_ipv4_dst_11,0.0020463847203273655,0.0007190262983557217,4.269025611585027e-06,10,0.0027853195870884973,0.0013074498535662338
pkt_1_rts,0.001909959072305556,0.001317996975551563,0.0006614752921338303,10,0.0032644490565355167,0.0005554690880755953
pkt_9_ipv4_src_21,0.001909959072305556,0.0011504420773691137,0.00026384865572360233,10,0.0030922548591233246,0.0007276632854877876
pkt_7_ipv4_dst_9,0.001909959072305545,0.0011504420773691343,0.0002638486557236459,10,0.003092254859123334,0.0007276632854877555
pkt_9_ipv4_dst_13,0.001909959072305545,0.0009538961784176012,6.788832696960787e-05,10,0.0028902669513286927,0.0009296511932823971
pkt_4_ipv4_dst_12,0.001909959072305545,0.0009538961784176012,6.788832696960787e-05,10,0.0028902669513286927,0.0009296511932823971
pkt_7_ipv4_dst_0,0.0019099590723055337,0.0007044990170454791,6.340924360070586e-06,10,0.0026339644229920324,0.001185953721619035
pkt_6_rts,0.0017735334242837241,0.0018246841880617324,0.006637938732287055,10,0.0036487398951317324,-0.00010167304656428394
pkt_2_ipv4_dst_19,0.0017735334242837241,0.0012942473370402654,0.0009479209919926411,10,0.003103616184453726,0.0004434506641137221
pkt_3_ipv4_dst_7,0.0017735334242837241,0.0011231549827401884,0.00037280903006366785,10,0.002927786585011135,0.0006192802635563133
pkt_2_ipv4_dst_6,0.001773533424283713,0.0009208029436706052,9.063136756319466e-05,10,0.0027198317753321715,0.0008272350732352547
pkt_4_ipv4_dst_4,0.0016371077762618925,0.0010761400242109264,0.0004796551495618992,10,0.002743044217286496,0.0005311713352372887
pkt_3_tcp_seq_0,0.0015006821282400717,0.0011945362015974115,0.0016206073006899537,10,0.0027282929277160648,0.0002730713287640786
pkt_7_ipv4_dst_13,0.0015006821282400496,0.0007744150234618614,8.663861843910687e-05,10,0.002296539336089359,0.0007048249203907401
pkt_9_tcp_seq_20,0.0013642564802182511,0.0017015267788876456,0.01597386635174957,10,0.0031128955307273757,-0.0003843825702908735
pkt_6_ipv4_dst_6,0.00136425648021824,0.0014380525967113967,0.00747818195520798,10,0.002842126213740455,-0.00011361325330397484
pkt_8_ipv4_dst_0,0.00136425648021824,0.0011139107516067051,0.0018857787793531726,10,0.0025090094533773374,0.00021950350705914274
pkt_9_rts,0.00136425648021824,0.001113910751606705,0.0018857787793531708,10,0.002509009453377337,0.00021950350705914295
pkt_0_ipv4_src_16,0.0013642564802182288,0.0009095043201455081,0.0005269356285083621,10,0.0022989433688094807,0.0004295695916269771
pkt_5_tcp_seq_26,0.0013642564802182288,0.0009095043201455081,0.0005269356285083621,10,0.0022989433688094807,0.0004295695916269771
pkt_2_tcp_seq_29,0.0013642564802182177,0.0006431166722933495,4.3856985674849685e-05,10,0.002025179917427247,0.0007033330430091887
pkt_7_ipv4_dst_6,0.0013642564802182177,0.0006431166722933495,4.3856985674849685e-05,10,0.002025179917427247,0.0007033330430091887
pkt_6_tcp_dprt_9,0.0013642564802182067,0.0,0.5,10,0.0013642564802182067,0.0013642564802182067
pkt_6_ipv4_dst_16,0.0012278308321964193,0.0019769954633273505,0.04056309442292419,10,0.0032595658085413665,-0.0008039041441485282
pkt_7_ipv4_dst_8,0.0012278308321964193,0.0011945362015974073,0.0049953424248778645,10,0.002455441631672408,2.200327204305262e-07
pkt_0_tcp_seq_0,0.0012278308321964193,0.0011945362015974071,0.004995342424877857,10,0.002455441631672408,2.2003272043074305e-07
pkt_0_ipv4_id_12,0.0012278308321964193,0.0011945362015974071,0.004995342424877857,10,0.002455441631672408,2.2003272043074305e-07
pkt_6_ipv4_dst_3,0.0012278308321964082,0.0010066368176979653,0.0019319488211634866,10,0.002262339645661946,0.00019332201873087027
pkt_4_ipv4_id_14,0.0012278308321963971,0.0007744150234618462,0.00036260751380174977,10,0.0020236880400456908,0.0004319736243471035
pkt_9_ipv4_dst_7,0.001227830832196386,0.000431415779013398,4.269025611583127e-06,10,0.001671191752253029,0.0007844699121397432
pkt_1_tcp_wsize_11,0.001227830832196386,0.000431415779013398,4.269025611583127e-06,10,0.001671191752253029,0.0007844699121397432
pkt_8_tcp_seq_13,0.0010914051841745876,0.001076140024210914,0.005354009977837797,10,0.0021973416251991787,-1.4531256850003425e-05
pkt_0_ipv4_src_31,0.0010914051841745764,0.0008628315580268193,0.0015552141551930846,10,0.001978127024287886,0.00020468334406126656
pkt_8_tcp_sprt_7,0.0010914051841745653,0.0005752210386845306,0.0001012496610338204,10,0.0016825530775834226,0.0005002572907657081
pkt_5_ipv4_dst_11,0.0010914051841745653,0.0005752210386845306,0.0001012496610338204,10,0.0016825530775834226,0.0005002572907657081
pkt_0_ipv4_src_29,0.0010914051841745653,0.0005752210386845306,0.0001012496610338204,10,0.0016825530775834226,0.0005002572907657081
pkt_0_ipv4_src_21,0.0010914051841745653,0.0005752210386845306,0.0001012496610338204,10,0.0016825530775834226,0.0005002572907657081
pkt_3_ipv4_src_31,0.0009549795361527668,0.0011231549827401752,0.012423172220328394,10,0.002109232696880164,-0.00019927362457463054
pkt_4_ipv4_dst_16,0.0009549795361527558,0.0009208029436705778,0.00476730652065087,10,0.001901277887201186,8.681185104325389e-06
pkt_0_tcp_seq_22,0.0009549795361527447,0.0006589984877757457,0.0006614752921337473,10,0.0016322245282676883,0.0002777345440378011
pkt_2_tcp_seq_1,0.0009549795361527447,0.0006589984877757457,0.0006614752921337473,10,0.0016322245282676883,0.0002777345440378011
pkt_9_ipv4_dst_24,0.0009549795361527447,0.0006589984877757457,0.0006614752921337473,10,0.0016322245282676883,0.0002777345440378011
pkt_8_ipv4_dst_6,0.0009549795361527447,0.0006589984877757457,0.0006614752921337473,10,0.0016322245282676883,0.0002777345440378011
pkt_4_tcp_sprt_12,0.0009549795361527447,0.0006589984877757457,0.0006614752921337473,10,0.0016322245282676883,0.0002777345440378011
pkt_4_ipv4_dst_3,0.0009549795361527447,0.0006589984877757457,0.0006614752921337473,10,0.0016322245282676883,0.0002777345440378011
pkt_5_ipv4_dst_29,0.0009549795361527447,0.0006589984877757457,0.0006614752921337473,10,0.0016322245282676883,0.0002777345440378011
pkt_8_ipv4_dst_3,0.0009549795361527447,0.0006589984877757457,0.0006614752921337473,10,0.0016322245282676883,0.0002777345440378011
pkt_2_tcp_seq_8,0.0009549795361527447,0.0006589984877757457,0.0006614752921337473,10,0.0016322245282676883,0.0002777345440378011
pkt_9_ipv4_dst_8,0.0009549795361527447,0.0006589984877757457,0.0006614752921337473,10,0.0016322245282676883,0.0002777345440378011
pkt_3_ipv4_dst_23,0.0009549795361527447,0.0006589984877757457,0.0006614752921337473,10,0.0016322245282676883,0.0002777345440378011
pkt_1_tcp_seq_27,0.0009549795361527447,0.0006589984877757457,0.0006614752921337473,10,0.0016322245282676883,0.0002777345440378011
pkt_7_ipv4_dst_26,0.0009549795361527447,0.0006589984877757457,0.0006614752921337473,10,0.0016322245282676883,0.0002777345440378011
